"Address","Source Line","Assembly","Hardware Event Count: Total","Hardware Event Count: Self","Hardware Event Sample Count: Total","Hardware Event Sample Count: Self"
"0x7f61252f4ce5","475","add qword ptr [rsi+0x148], 0x1","","","",""
"0x7f61252f4ced","0","Block 28:","","","",""
"0x7f61252f4ced","475","mov rdx, 0x7f61206d4678","","","",""
"0x7f61252f4cf7","475","mov esi, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4cfd","475","add esi, 0x8","","","",""
"0x7f61252f4d00","475","mov dword ptr [rdx+0xdc], esi","","","",""
"0x7f61252f4d06","475","mov rdx, 0x7f61206d00d0","","","",""
"0x7f61252f4d10","475","and esi, 0x7ffff8","","","",""
"0x7f61252f4d16","475","cmp esi, 0x0","","","",""
"0x7f61252f4d19","475","jz 0x7f61252f6d3b <Block 295>","","","",""
"0x7f61252f4d1f","0","Block 29:","","","",""
"0x7f61252f4d1f","475","mov byte ptr [r9+0xc], 0x0","","","",""
"0x7f61252f4d24","475","mov rdx, 0x7c0061028","","","",""
"0x7f61252f4d2e","475","mov rax, qword ptr [r15+0x60]","","","",""
"0x7f61252f4d32","475","lea rdi, ptr [rax+0x18]","","","",""
"0x7f61252f4d36","475","cmp rdi, qword ptr [r15+0x70]","","","",""
"0x7f61252f4d3a","475","jnbe 0x7f61252f6d52 <Block 297>","","","",""
"0x7f61252f4d40","0","Block 30:","","","",""
"0x7f61252f4d40","475","mov qword ptr [r15+0x60], rdi","","","",""
"0x7f61252f4d44","475","mov rcx, qword ptr [rdx+0xa8]","","","",""
"0x7f61252f4d4b","475","mov qword ptr [rax], rcx","","","",""
"0x7f61252f4d4e","475","mov rcx, rdx","","","",""
"0x7f61252f4d51","475","shr rcx, 0x3","","","",""
"0x7f61252f4d55","475","mov dword ptr [rax+0x8], ecx","","","",""
"0x7f61252f4d58","475","xor rcx, rcx","","","",""
"0x7f61252f4d5b","475","mov dword ptr [rax+0xc], ecx","","","",""
"0x7f61252f4d5e","475","xor rcx, rcx","","","",""
"0x7f61252f4d61","475","mov qword ptr [rax+0x10], rcx","","","",""
"0x7f61252f4d65","0","Block 31:","","","",""
"0x7f61252f4d65","475","mov rdx, rax","","","",""
"0x7f61252f4d68","475","mov rcx, 0x7f61206da038","","","",""
"0x7f61252f4d72","475","add qword ptr [rcx+0x178], 0x1","","","",""
"0x7f61252f4d7a","475","mov rdx, 0x7f61206d9aa8","","","",""
"0x7f61252f4d84","475","mov ecx, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4d8a","475","add ecx, 0x8","","","",""
"0x7f61252f4d8d","475","mov dword ptr [rdx+0xdc], ecx","","","",""
"0x7f61252f4d93","475","mov rdx, 0x7f61206cc960","","","",""
"0x7f61252f4d9d","475","and ecx, 0x7ffff8","","","",""
"0x7f61252f4da3","475","cmp ecx, 0x0","","","",""
"0x7f61252f4da6","475","jz 0x7f61252f6d5f <Block 299>","","","",""
"0x7f61252f4dac","0","Block 32:","","","",""
"0x7f61252f4dac","475","mov rdx, rax","","","",""
"0x7f61252f4daf","475","mov rcx, 0x7f61206d9aa8","","","",""
"0x7f61252f4db9","475","add qword ptr [rcx+0x108], 0x1","","","",""
"0x7f61252f4dc1","475","mov rdx, 0x7f61206d88a8","","","",""
"0x7f61252f4dcb","475","mov ecx, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4dd1","475","add ecx, 0x8","","","",""
"0x7f61252f4dd4","475","mov dword ptr [rdx+0xdc], ecx","","","",""
"0x7f61252f4dda","475","mov rdx, 0x7f61206cc728","","","",""
"0x7f61252f4de4","475","and ecx, 0x7ffff8","","","",""
"0x7f61252f4dea","475","cmp ecx, 0x0","","","",""
"0x7f61252f4ded","475","jz 0x7f61252f6d76 <Block 301>","","","",""
"0x7f61252f4df3","0","Block 33:","","","",""
"0x7f61252f4df3","475","mov rdx, rax","","","",""
"0x7f61252f4df6","475","mov rcx, 0x7f61206d88a8","","","",""
"0x7f61252f4e00","475","add qword ptr [rcx+0x108], 0x1","","","",""
"0x7f61252f4e08","475","mov rdx, 0x7f6120440a30","","","",""
"0x7f61252f4e12","475","mov ecx, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4e18","475","add ecx, 0x8","","","",""
"0x7f61252f4e1b","475","mov dword ptr [rdx+0xdc], ecx","","","",""
"0x7f61252f4e21","475","mov rdx, 0x7f61202c9480","","","",""
"0x7f61252f4e2b","475","and ecx, 0x7ffff8","","","",""
"0x7f61252f4e31","475","cmp ecx, 0x0","","","",""
"0x7f61252f4e34","475","jz 0x7f61252f6d8d <Block 303>","","","",""
"0x7f61252f4e3a","0","Block 34:","","","",""
"0x7f61252f4e3a","475","mov dword ptr [rax+0xc], 0x1","","","",""
"0x7f61252f4e41","475","mov dword ptr [rax+0x10], 0x2710","","","",""
"0x7f61252f4e48","475","mov rdx, r14","","","",""
"0x7f61252f4e4b","475","mov rcx, 0x7f61206da038","","","",""
"0x7f61252f4e55","475","add qword ptr [rcx+0x188], 0x1","","","",""
"0x7f61252f4e5d","475","mov rdx, 0x7f61206d9bd8","","","",""
"0x7f61252f4e67","475","mov ecx, dword ptr [rdx+0xdc]","","","",""
"0x7f61252f4e6d","475","add ecx, 0x8","","","",""
"0x7f61252f4e70","475","mov dword ptr [rdx+0xdc], ecx","","","",""
"0x7f61252f4e76","475","mov rdx, 0x7f61206d10f8","","","",""
"0x7f61252f4e80","475","and ecx, 0x7ffff8","","","",""
"0x7f61252f4e86","475","cmp ecx, 0x0","","","",""
